🚀 Starting WebSocket server on port 5000...
✅ WebSocket server ready - waiting for connections...
🎯 Starting BPF monitoring - waiting for DASH traffic on port 8000...
🔍 Starting TCP metrics monitoring for DASH traffic...
✅ eBPF agent and WebSocket server are running in the background.
📡 DASH: 47.1kbps, RTT: 158.8ms (10.0.0.1:8000 → 10.0.0.2:47394)
📡 DASH: 68098.2kbps, RTT: 157.1ms (10.0.0.1:8000 → 10.0.0.2:47394)
📡 DASH: 200.3kbps, RTT: 156.0ms (10.0.0.1:8000 → 10.0.0.2:47404)
📡 DASH: 200.3kbps, RTT: 154.0ms (10.0.0.1:8000 → 10.0.0.2:47404)
📡 DASH: 200.3kbps, RTT: 147.4ms (10.0.0.1:8000 → 10.0.0.2:47408)
📡 DASH: 200.3kbps, RTT: 142.9ms (10.0.0.1:8000 → 10.0.0.2:47408)
📡 DASH: 13.4kbps, RTT: 138.8ms (10.0.0.1:8000 → 10.0.0.2:47410)
📡 DASH: 13.4kbps, RTT: 134.7ms (10.0.0.1:8000 → 10.0.0.2:47410)
📡 DASH: 10.1kbps, RTT: 131.1ms (10.0.0.1:8000 → 10.0.0.2:47420)
📡 DASH: 10.1kbps, RTT: 132.2ms (10.0.0.1:8000 → 10.0.0.2:47420)
📡 DASH: 13.4kbps, RTT: 192.2ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 13.4kbps, RTT: 251.8ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 13.4kbps, RTT: 311.3ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 17.2kbps, RTT: 352.2ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 6066.2kbps, RTT: 417.1ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 6066.2kbps, RTT: 551.9ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 6066.2kbps, RTT: 686.6ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 2965.5kbps, RTT: 961.1ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 2965.5kbps, RTT: 1253.7ms (10.0.0.1:8000 → 10.0.0.2:47424)
📡 DASH: 1222.3kbps, RTT: 1458.1ms (10.0.0.1:8000 → 10.0.0.2:47428)
📡 DASH: 1222.3kbps, RTT: 1533.5ms (10.0.0.1:8000 → 10.0.0.2:47428)
